//Vanilla

//Vanilla Echoes

ec-Chimney1|Behold this empty husk of a land...
it-lttm-pearl-SL_bridge1|Building Pebbles so close to me was believed to be a risky choice, but the groundwater was<LINE>finally deemed as sufficient. It was not a good decision, in hindsight.

it-lttm-pearl-SL_moon1|Interesting... This one is written by me.
it-lttm-pearl-SL_moon2|It's about an iterator called Sliver of Straw. I don't remember when I wrote it...<LINE>Do you know Sliver of Straw? She's quite legendary among us.
it-lttm-pearl-SL_moon3|Sliver of Straw is the only one to ever broadcast a specific signal: that the Big Problem we're all working on has been solved.<LINE>The triple affirmative - affirmative that a solution has been found, affirmative that the solution is portable, and affirmative<LINE>that a technical implementation is possible and generally applicable. She's also one of few that has ever been confirmed as<LINE>exhaustively incapacitated, or dead. We do not die easily.
it-lttm-pearl-SL_moon4|Sliver of Straw sent this and the ensuing commotion was historically unparalleled, before or after.<LINE>I still remember it. But... nothing happened - except that Sliver of Straw was apparently dead.<LINE>When the dust settled we were all still there blinking at each other.
it-lttm-pearl-SL_moon5|Everyone had a theory. Some said that she did have a solution, but that the solution itself<LINE>was somehow dangerous. These later became known as the Triangulators, who think that a solution<LINE>should be inferred without being directly discovered.
it-lttm-pearl-SL_moon6|Some said she never had a solution, she just died.<LINE>And when the systems broke down an erroneous signal was sent.
it-lttm-pearl-SL_moon7|One camp claimed that dying *was* the solution.
it-lttm-pearl-SL_moon8|Either way, after that these different factions developed, as well as a huge forensic effort<LINE>to recreate and simulate Sliver of Straw's last moments. Some of the simulations were wrapped<LINE>in a simulation wrapped in a simulation, in case something dangerous might happen.<LINE>Nothing much has come from it.
it-lttm-pearl-SL_moon9|In my essay I make the case that maybe she should be allowed to rest in peace now.

it-lttm-pearl-SI-A1|This one is an old conversation between Five Pebbles and a friend of his. I'll read it to you.
it-lttm-pearl-SI-A2|"1591.290 - PRIVATE<LINE>Five Pebbles, Seven Red Suns
it-lttm-pearl-SI-A3|FP: Can I tell you something? Lately...
it-lttm-pearl-SI-A4|FP: I'm tired of trying and trying. And angry that they left us here.<LINE>The anger makes me even less inclined to solve their puzzle for them. Why do we do this?
it-lttm-pearl-SI-A5|SRS: Yes, I'll spell this out - not because you're stupid or naive...<LINE>Also, not saying that you're not ~
it-lttm-pearl-SI-A6|FP: Please, I'm coming to you for guidance.
it-lttm-pearl-SI-A7|SRS: Sorry, very sorry. I kid. Fact is, of course we are all aware of the evident<LINE>futility of this Big Task. It's not said out loud but if you were better at reading<LINE>between the lines there's nowhere you wouldn't see it. We're all frustrated.
it-lttm-pearl-SI-A8|FP: So why do we continue? We assemble work groups, we ponder,<LINE>we iterate and try. Some of us die. It's not fair.
it-lttm-pearl-SI-A9|SRS: Because there's not any options. What else CAN we do? You're stuck in your can, and at any<LINE>moment you have no more than two alternatives: Do nothing, or work like you're supposed to.
it-lttm-pearl-SI-A10|SRS: An analogy. You have a maze, and you have a handful of bugs. You put the bugs in the maze, and you leave.<LINE>Given infinite time, one of the bugs WILL find a way out, if they just erratically try and try.<LINE>This is why they called us Iterators.
it-lttm-pearl-SI-A11|FP: But we do die of old age.
it-lttm-pearl-SI-A12|SRS: Even more incentive! You know that nothing ever truly dies though, around and around it goes.<LINE>Granted, our tools and resources get worse over time - but that is theoretically unproblematic,<LINE>because in time even a miniscule chance will strike a positive.<LINE>All the same to them, they're not around anymore!
it-lttm-pearl-SI-A13|FP: I struggle to accept being a bug."

it-lttm-pearl-SI-B1|Oh, this one is all plain text. It's an excerpt from an Iterator conversation group.
it-lttm-pearl-SI-B2|"1650.787 - CLOSED GROUP [SLIVEROFOCEAN]<LINE>SliverOfOcean group, all participants anonymous
it-lttm-pearl-SI-B3|UU: Hah! I wouldn't necessarily disagree!
it-lttm-pearl-SI-B4|NGI: SLIVER OF STRAW WAS A TRAITOR TO THE CAUSE
it-lttm-pearl-SI-B5|NGI: SLIVER OF STRAW BROKE THE SELF-DESTRUCTION TABOO
it-lttm-pearl-SI-B6|UU: How did this idiot get in here? Kick them out ~
it-lttm-pearl-SI-B7|NGI: <Forcefully removed from group>
it-lttm-pearl-SI-B8|EP: I think they had a point.
it-lttm-pearl-SI-B9|UU: Hahaha really? Elaborate!
it-lttm-pearl-SI-B10|EP: It was definitely coming from an idiotic state of mind, but there is something to it. Why is it,<LINE>that even in a closed sliverist group, the self-destruction taboo is held so high - while Sliver of Straw<LINE>herself *evidently* is not among us anymore?
it-lttm-pearl-SI-B11|HF: Wait now...
it-lttm-pearl-SI-B12|EP: I'm just saying that for all the research we are doing, all the theories we have, it's strange that we leave this path untrod.
it-lttm-pearl-SI-B13|EP: It is not a new idea, but it needs to be vented occasionally. What if there is no universal solution?<LINE>What if perception is in fact existence, and when Sliver of Straw sent the triple positive it was *not* a mistake?<LINE>What if crossing oneself out, or even just death, is the way? We need to consider the possibility."

it-lttm-pearl-SI-C1|It's an old conversation log. I seem to be in it, but I can't recall much. Let me read it to you:
it-lttm-pearl-SI-C2|"1650.800 - PRIVATE<LINE>Five Pebbles, Chasing Wind, Big Sis Moon, No Significant Harassment
it-lttm-pearl-SI-C3|CW: this is in confidence, but apparently a pseudonym "Erratic Pulse" has appeared on a nearby Sliverist conversation<LINE>with ideas about personal ascension. Someone here in our vicinity is trying to cross themselves out.
it-lttm-pearl-SI-C4|FP: Where did you hear this?
it-lttm-pearl-SI-C5|NSH: I wish them super good luck in that endeavor. How is it going to happen?<LINE>Have the overseers gnaw through bedrock until their entire can crashes down in the void sea?
it-lttm-pearl-SI-C6|BSM: Please be respectful when speaking of the Void Sea. Grey Wind, where did you hear this?
it-lttm-pearl-SI-C7|CW: I really shouldn't say. He's going to attempt some sort of breeding program. Thought you might want to know.
it-lttm-pearl-SI-C8|NSH: Haha with the slimers, lizards and etceteras? Surely the answer was in a lizard skull all along!
it-lttm-pearl-SI-C9|CW: Well, he's not looking for the same thing as we anymore, he's changed his task, so who knows really.
it-lttm-pearl-SI-C10|BSM: I will try to find him and talk to him. Please don't spread this around!
it-lttm-pearl-SI-C11|NSH: Moon will go get them! Long live the inquisition!"

it-lttm-pearl-SI-D1|It's me writing to the local iterator group. I have no memories of this...
it-lttm-pearl-SI-D2|"1654.110 - PUBLIC<LINE>Big Sis Moon to Local Group
it-lttm-pearl-SI-D3|BSM: Two cycles ago, my neighbor Five Pebbles drastically increased his water consumption to<LINE>four times the normal amount. He has been unresponsive for a period of time longer than that.<LINE>The two of us share groundwater, and I have been without water for almost a cycle.
it-lttm-pearl-SI-D4|BSM: Any attempts at communication have been met with complete silence, and my situation is becoming increasingly dangerous.
it-lttm-pearl-SI-D5|BSM: I ask the local group for information about when you were last able to contact him,<LINE>and to try to use those same communication channels again, repeatedly until you get a response.<LINE>I will be clear on this - if he is not persuaded to stop whatever it is he's doing, I will die.
it-lttm-pearl-SI-D6|BSM: Before that happens, I will utilize my seniority privilege and use forced communications,<LINE>hoping to shake him out of it. Forced communications in the network will be unpleasant for all,<LINE>and I will wait as long as possible before I turn to that option."
it-lttm-pearl-SI-D7|And now here I am, to my waist in water and getting drowned on the regular.

it-lttm-pearl-SI-E1|I remember this. It isn't pleasant reading. But if you must hear it, this is what it says:
it-lttm-pearl-SI-E2|"1654.116 - PRIVATE [FORCED]<LINE>Big Sis Moon, Five Pebbles
it-lttm-pearl-SI-E3|BSM: Immediately lower your groundwater consumption to one fifth of the current intake.
it-lttm-pearl-SI-E4|BSM: Stop whatever it is you are doing.
it-lttm-pearl-SI-E5|BSM: Please stop!
it-lttm-pearl-SI-E6|BSM: As your local group senior I order you you you you you you
it-lttm-pearl-SI-E7|BSM: As your senior senior I plead
it-lttm-pearl-SI-E8|BSM: stop
it-lttm-pearl-SI-E9|Five Pebbles: You could not have chosen a worse moment to disturb me. You have ruined everything.
it-lttm-pearl-SI-E10|BSM: please
Tait-lttm-pearl-SI-E11|Five Pebbles: I almost had it. I will never forget this."

it-lttm-pearl-SU1|Its entire memory is filled with a mantra repeated... 5061 times - and then a termination verse.<LINE>It was worn as an amulet, probably together with many identical others forming a pattern on some garment.
it-lttm-pearl-SU2|The repeating mantra is important because it symbolizes the cyclical nature of life and death, and the<LINE>termination verse is a symbol for ascension above and beyond it. I don't know how familiar you are with<LINE>the nature of life and death, but I imagine like all living creatures you have some intuitive knowledge?
it-lttm-pearl-SU3|Then you know that death isn't the end - birth and death are connected to each other like a ring,<LINE>or some say a spiral. Some say a spiral that in turn forms a ring. Some ramble in agonizing longevity.<LINE>But the basis is agreed upon: like sleep like death, you wake up again - whether you want to or not.
it-lttm-pearl-SU4|This is true for all living things, but some actually break the cycle. That doesn't apply to<LINE>you or me though, you are too entangled in your animal struggles, and for me not breaking that<LINE>cycle is an integral part of the design. Our mantras keep repeating.

it-lttm-pearl-UW1|This one has plain text. Let me cut the lengthy introductions...
it-lttm-pearl-UW2|"...we will not consider the Current Situation acceptable. Although our community is Blessed with an ever<LINE>shrinking Population, and we can Almost Glimpse that Glorious moment when the last of us has joined our<LINE>most Admired peers, we must still (at All Times!) maintain Good Relations with our Iterator.
it-lttm-pearl-UW3|The Moral Argument: Five Pebbles is our Creation, and we have Parental Obligations towards him. As an Iterator,<LINE>he is also a Gift of Charity from Us to The World (unable to reach Enlightenment by itself - being composed mostly<LINE>of Rock, Gas, dull witted Bugs and Microbes - and towards which We thus have Obligations).
it-lttm-pearl-UW4|The Practical Argument: Despite You being family, I must Beg Forgiveness for the<LINE>Blunt Vulgarity - but We are (for as long as we Remain) Dependent on Five Pebbles<LINE>for Water, Nectar, Energy, Void Fluid and All other Vital Resources.<LINE>By Now, living on the surface is Laughable.<LINE>We are Across the River and have Kicked out the Boat.
it-lttm-pearl-UW5|I therefor ask you to Do Anything in your Might to stop the House(We both know which House)<LINE>from Further Obstruction! They have less than forty members on the Council, but still Tilt<LINE>the spiritual Discourse with Our Iterator in a direction that most obviously Displeases him,<LINE>and is hardly High Held by anyone in the Community either! We can not Risk this!"
it-lttm-pearl-UW6|And then there are polite farewells. None of us really miss the times when their cities were populated.<LINE>Imagine having skin parasites that also ask for advice and have opinions...
it-lttm-pearl-UW7|I'm sorry, that was disrespectful. They were our parents after all.

it-lttm-pearl-SB_ravine1|It's a conversation log, all plain text. You want me to read it?
it-lttm-pearl-SB_ravine2|"1681.662 - PRIVATE<LINE>Seven Red Suns, Chasing Wind
it-lttm-pearl-SB_ravine3|CW: Have you had any contact with Five Pebbles recently?
it-lttm-pearl-SB_ravine4|SRS: Not in a long while actually! Unless worrying about him counts.
it-lttm-pearl-SB_ravine5|CW: One of his neighbors, Unparalleled Innocence, sent an overseer to his can and got some images.<LINE>They were made public in the local group, in an effort to be mean I suppose.<LINE>There's no other way of putting it - he looks awful.
it-lttm-pearl-SB_ravine6|SRS: Tell me.
it-lttm-pearl-SB_ravine7|CW: He's got the rot, very badly. Big cysts have become mobile and are scattering down the west and middle legs.<LINE>He does listen to you, and few others by now, so you should talk to him.
it-lttm-pearl-SB_ravine8|SRS: I will try to contact him. Does Moon know?
it-lttm-pearl-SB_ravine9|CW: Moon has been unavailable for some time."

it-lttm-pearl-SL_chimney1|It is the genome for a purposed organism.<LINE>A small slug to clean the insides of pipes.
it-lttm-pearl-SL_chimney2|Do you know what a purposed organism is? Actually you are talking to one right now!
it-lttm-pearl-SL_chimney3|Although, a small fraction of one. Nowadays I am mostly just my puppet. The bulk of me is in these walls but I am<LINE>disconnected from those parts, to a degree where I am only vaguely aware of how bad their condition is.
it-lttm-pearl-SL_chimney4|Most purposed organisms were considerably smaller than me, and most barely looked like organisms at all.<LINE>More like tubes in metal boxes, where something went in one end and something else came out the other.
it-lttm-pearl-SL_chimney5|There were of course those that were purposed for spectacle rather than industry - they enjoyed the privilege of glass boxes.
it-lttm-pearl-SL_chimney6|When I came into this world there was very little primal fauna left.<LINE>So it's highly likely that you are the descendant of a purposed organism yourself!

it-lttm-pearl-HunterPearl1|"Triple affirmative! Triple affirmative!
it-lttm-pearl-HunterPearl2|In all seriousness though, noticed barely any rain from<LINE>your can so figured a little support might be in order.
it-lttm-pearl-HunterPearl3|Wasn't that easy to see of course, with Pebbles' shall we say healthy output.
it-lttm-pearl-HunterPearl4|Enjoy the slag keys! Excuse the unorthodox delivery method, equipment eroding etc etc.
it-lttm-pearl-HunterPearl5|Be well, NSH"
it-lttm-pearl-HunterPearl6|Oh.
it-lttm-pearl-HunterPearl7|I see now. Again, thank you little friend.

it-lttm-pearl-white1|This is a movement acceptance invoice from one of the Dual Celia living blocks, as requested by Eight Bogs of the<LINE>House of Eight during the Tan hegemonic architectural dynasty. All very standard stuff. I can't imagine that you'd be interested.
it-lttm-pearl-white2|Unfortunately I can't read this as it isn't a memory construct pearl.<LINE>This is just a simple diamond sphere, as worthless as the carbon it's printed from.
it-lttm-pearl-white3|"...through the mists of memory, your image dances, like the motes of dust, in a ray of sunlight, that pierces a dark room."<LINE>A line of verse from the ancient farmer-poet Pel. Very dreary if you ask me.
it-lttm-pearl-white4|"Fifteen stems of sun bark, hydrolyzed. Twelve to nineteen bushels of atomized chalk powder. Assorted Root vegetation..."<LINE>It goes on and on. A shopping list, or perhaps a recipe.
it-lttm-pearl-white5|I am sorry, this pearl is damaged and cannot be read.<LINE>I suggest you use it for trade with the scavengers, as they won't know the difference.
it-lttm-pearl-white6|This is an official decree of cultivation sent from the twenty-second Subsistence Council ordering the<LINE>eastern spoke Farm Array administration to "immediately harvest and process all viable crops, despite<LINE>whatever misgivings they might have." A short-sighted endeavor for sure. I would assume this was sent<LINE>sometime during the final cycles leading up to final public ascension, when interest in biosphere<LINE>sustainability was at an all-time low.
it-lttm-pearl-white7|Here we have a schematic for a refuse reclamation automaton. It's an early design, but the long<LINE>tubular body and single eye-mouth are quite similar to the later models.
it-lttm-pearl-white8|"We, of the Five-hundred-and-ninety-second High Convocation of the True Anointed Citadel, do hereby demand, with full<LINE>force of Law and Religious doctrine, an Immediate end to construction of the Apostate Superstructure Abomination.<LINE>To place shadow upon the Divine Body of the True Anointed Citadel is outrageous blasphemy and cannot be tolerated,<LINE>no matter the circumstances..." Clearly this was ignored.
it-lttm-pearl-white9|Oh, interesting. This is a diary entry of a pre-Iterator era laborer during the construction of the<LINE>subterranean transit system south of here. In it they describe restless nights filled with disturbing dreams,<LINE>where millions glowing stars move menacingly in the distance.
it-lttm-pearl-white10|There isn't much to the data here, it's just basic theory for karmic transform of n-dimensional geometries.<LINE>But the pearl itself is quite interesting. You can see the crude holes burned through the center that the<LINE>scavengers use to tie these pearls onto their totems or to carry. I honestly can't fathom how they achieve<LINE>this with their primitive level of technology! Fascinating
it-lttm-pearl-white11|This one is all blank, sorry.
it-lttm-pearl-white12|I am sorry, all of that work for nothing! This pearl is completely blank.
it-lttm-pearl-white13|There's nothing on this one, unfortunately.
it-lttm-pearl-white14|This one has nothing on it.
it-lttm-pearl-white15|I'm sorry, this one has nothing on it.
it-lttm-pearl-white16|I can't make anything out of this pearl, it's just too faded. But there might have been something on it once.
it-lttm-pearl-white17|This one has a small crack and has been pretty badly corrupted. There is a slight impression of the shape of a wing on it, but I can't get a clear image.
it-lttm-pearl-white18|There's nothing on this one.
it-lttm-pearl-white19|I see a vague memory of a family portrait, painted in the High Classical manner that was famous during the Yellow hegemonic literary dynasty.<LINE>The portrait is likely a fake, as this style was quite fashionable for aspirational lower caste aristocrats to impress each-other with.<LINE>This one does not impress, I assure you.
it-lttm-pearl-white20|It has been written to, but then scrambled, and then scrambled again. Suspicious behavior to be sure.
it-lttm-pearl-white21|This one has been purposefully scrambled, it's completely illegible. Business documents perhaps.
it-lttm-pearl-white22|This one seems to have an image on it, but the pearl has been exposed to sunlight and it's very faded.<LINE>I see a tall structure with banners unfurled.
it-lttm-pearl-white23|There might be something on here, but the pearl has been lying in the sun and it's all very pale.<LINE>I'm too tired to look any deeper, I apologize.
it-lttm-pearl-white24|This is a growing instruction for the skeleton of a creature, but I don't recognize the creature.<LINE>It was small, about your size.
it-lttm-pearl-white25|This one seems to be a number series... Perhaps a key?
it-lttm-pearl-white26|A number series... I would guess some kind of cipher.
it-lttm-pearl-white27|This one is filled with active working memory - without knowing the<LINE>surrounding process this information is meaningless.
